Name	Used	Potential
ELECTRICITY	0.000000	1000000.000000
GASOLINE	0.000000	1000000.000000
DIESEL	20375.678680	1000000.000000
BIOETHANOL	0.000000	0.000000
BIODIESEL	0.000000	0.000000
LFO	8491.056639	1000000.000000
NG	172585.210985	1000000.000000
SNG	0.000000	0.000000
WOOD	17310.000000	17310.000000
WET_BIOMASS	11180.000000	11180.000000
COAL	0.000000	1000000.000000
URANIUM	0.000000	1000000.000000
WASTE	9800.000000	9800.000000
H2	0.000000	0.000000
ELEC_EXPORT	0.000000	1000000.000000
CO2_EMISSIONS	7039.419021	1000000.000000
RES_WIND	9287.123662	1000000.000000
RES_SOLAR	186945.501305	1000000.000000
RES_HYDRO	106.000255	1000000.000000
RES_GEO	0.000000	0.000000
CO2_ATM	0.000000	0.000000
CO2_INDUSTRY	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
